# needs_review ワークシート(77 語・頻度順)
# decision 列に adopted / rejected を書き、vocab_decisions.tsv へ反映する(SPEC §4.2)
word	freq	ctx_types	decision	reason
そろそろ	938			
ばたー	389			
めりー	192			
かんかん	180			
すれすれ	128			
うねり	105			
ぱりー	58			
しなり	57			
まずまず	56			
いじり	49			
まちまち	48			
まにまに	47			
どろー	42			
ゆうゆう	38			
ぜんぜん	38			
からー	36			
じきじき	34			
さわり	34			
ほうほう	34			
すたー	32			
ぼたん	30			
さんさん	28			
べつべつ	26			
しおり	26			
どろん	26			
のうのう	23			
ずきん	23			
あきあき	22			
のこり	21			
がたり	18			
もぐり	16			
よりより	16			
かたり	16			
うそうそ	15			
じゃり	15			
おどり	14			
くりー	14			
けんけん	14			
やあやあ	14			
すべり	14			
ちろり	13			
ねんねん	13			
でんでん	13			
えんえん	13			
ぶるー	13			
うつうつ	12			
らくらく	12			
あいあい	12			
しめしめ	12			
ぼこり	11			
てんてん	11			
のちのち	10			
おさおさ	10			
いんいん	10			
えいえい	8			
ほどほど	8			
ふりー	8			
さあさあ	8			
ずうずう	8			
ねばり	7			
こいこい	7			
まんまん	7			
しらん	7			
じゅじゅ	7			
かりん	7			
じょじょ	6			
かなかな	6			
すがすが	6			
さいさい	5			
じゃー	5			
きゅきゅ	5			
まえまえ	5			
なぞなぞ	5			
たんたん	5			
こよこよ	5			
しなん	5			
じめん	5			
