# o2_pairs v1.0.0
# 最終更新: 2026-08-25 / 判定者: 人間
# 用途: O-2(濁音ミニマルペア)の対比語対(F-21)。**測定器の設計であり研究の一部**。
# 変更は専用コミット(data: o2_pairs vX.Y — 理由)で行い、感度分析を必ず実行する(F-14)。
# corresponds: 1 = 清音側と濁音側が同じ事象を指し濁音化だけが質感を変える真の対
#              0 = 偶然の同音対(語源も意味も無関係)
清音	濁音	corresponds
かあかあ	があがあ	1
からから	がらがら	1
かりかり	がりがり	1
きいきい	ぎいぎい	1
きらきら	ぎらぎら	1
きりきり	ぎりぎり	1
くすくす	ぐずぐず	1
くらくら	ぐらぐら	1
くりくり	ぐりぐり	1
くるくる	ぐるぐる	1
くんくん	ぐんぐん	0
けらけら	げらげら	1
こりこり	ごりごり	0
ころころ	ごろごろ	1
こんこん	ごんごん	1
ごほごほ	ごぼごぼ	1
さらさら	ざらざら	1
さわさわ	ざわざわ	1
しんしん	じんじん	0
すらすら	ずらずら	1
するする	ずるずる	1
たらたら	だらだら	1
とろとろ	どろどろ	1
とんとん	どんどん	1
はらはら	ばらばら	0
はりはり	ばりばり	0
ひらひら	びらびら	1
ひりひり	びりびり	1
ふうふう	ぶうぶう	1
ふらふら	ぶらぶら	1
ふりふり	ぶりぶり	1
ふわふわ	ぶわぶわ	1
ふんふん	ぶんぶん	0
へらへら	べらべら	1
へろへろ	べろべろ	1
ほやほや	ぼやぼや	0
ほろほろ	ぼろぼろ	1
もくもく	もぐもぐ	1
もそもそ	もぞもぞ	1
