# O-2 濁音ミニマルペアの選別ワークシート(2026-08-25 生成・39 組)
# corresponds 列に 1(意味的に対応する真の濁音対)/ 0(偶然の同音対)を書く
# 判定基準: 清音側と濁音側が同じ事象を指し、濁音化だけが質感を変えているか
清音	頻度	濁音	頻度	corresponds	清音の用例	濁音の用例
かあかあ	8	があがあ	15		兵士達が行くと、烏は、かあかあ鳴き叫び、雲のように空へまい上った。	じき近くにあるあひる小屋にいる二わのあひるが、人のけはいでひもじさを思い出したのか、があがあとやかま
からから	225	がらがら	235		木村は少し怒気をほのめかす顔つきをして、遠くから葉子を見つめたまま口もきかないでいた。事務長はからか	グッドモーニングの銀ちゃんがガラガラとパイをかきまぜながら言うと、祇園荘の女が、
かりかり	9	がりがり	64		と言ってピグミーは、一本の蝋燭をカリカリと噛みはじめ、そうして一方には、油壺の油を注口からガブガブと	それは、「青蘭」の支配人で、西村と名乗る青年だった。ガリガリベルを鳴らして、せわしげに電話を掛けてよ
きいきい	34	ぎいぎい	20		と思われたとき、――不意にキイキイと、書院のお廊下の鶯張りが怪しく鳴いた。	隣りのシンガーミシンの生徒？　さんが、歯をきざむように、ギイギイ……しっきりなしにミシンのペタルを押
きらきら	413	ぎらぎら	242		見ると、向うの暗いところに黄金色の猫の眼が二つキラキラと光っています。	朝食が済んだ後で、霧がはれて、海がギラギラ青い鋼鉄色に煌きはじめると、二組の夫婦はそろって海水浴に出
きりきり	188	ぎりぎり	147		叫んだのといっしょに、矢さばき弓勢もまたみごと、名人ののど首ねらって、きりきりと引きしぼりました。	Ａは、それを聞いて苦笑いをしたが、直ぐに歯をギリギリ音を立てて噛み鳴らした。
くすくす	140	ぐずぐず	292		お蓮はくすくす笑い出した。	お島はその度に、目に涙をためて溜息を吐いたが、還るとも還らぬとも決らずに、話がぐずぐずになる事が多か
くらくら	105	ぐらぐら	168		「だから、ショボショボしょげてるッてんじゃねえですがね。人間あんまり腹が立つと、目まいがしていけねえ	「急に寒い所に出ましたせいですかしら、なんだか頭がぐらぐらいたしまして」
くりくり	70	ぐりぐり	37		鈴から出て来たクリクリ坊主」	按摩は臂でお角の肩をグリグリさせながら、お天気のお世辞をいっているとお角は、その腕の逞しいところを見
くるくる	339	ぐるぐる	590		酸漿は二三度くるくると廻って、井桁の外へ流れ落ちた。	彼らはかくして円い輪の上をぐるぐる廻って歩いた。そうしていくら疲れても気が付かなかった。
くんくん	45	ぐんぐん	255		「師の房様。おさしつかえござりませぬか」くんくんと何かのにおうそこの室の内から、親鸞の声がすぐ答えた	牝牛のように身体の大きなエミリーは戸口に立ちはだかる枯木のようなガロ爺やをぐんぐん押し戻して、浴槽の
けらけら	25	げらげら	150		逃げちゃったよと、坂野はケラケラと笑ったが、さすがに虚ろな響きだった。	と若い男はタタキつけるように云ったが、硝子戸の外でゲラゲラ笑い出した顔をチラリと見まわすと、又グッタ
こりこり	17	ごりごり	17		「そんなこと、僕一どでこりこりですよ。」	と、悲しそうです。泰軒はチョビ安のことは知らないから、だまってゴリゴリをつづけている。
ころころ	144	ごろごろ	266		コロコロ、コロコロ、彼の小さな希望は深夜の空気を清らかに顫わせた。	その日は一日店へも行かず、妾宅にごろごろしていた牧野は、風俗画報を拡げながら、不審そうに彼女へ声をか
こんこん	89	ごんごん	17		――ケン、ケン、コンコン！	「きのう、お別れだといって、あげん子供たちが、ごんごん鳴らしたが、わからなかっただかね。」
ごほごほ	5	ごぼごぼ	16			店ではゴボゴボという音が聞える。しばらくすると、小僧はまた出て行った。
さらさら	250	ざらざら	103		のみならず、小僧が求めたその二品を持ってくると、いきなりさらさらと次のごとき文句を紙にしたためました	私は姉をかき抱いて泪ながらに、そのザラザラな粗悪な白壁のような頬へ接吻した。姉は私の胸の中で、身もだ
さわさわ	15	ざわざわ	153		やがて、刀を提げる音、サワサワと鳴る袴の音。	ザワザワと風の渡る音がした。
しんしん	103	じんじん	28		名人はしんしんと考えつづけたままでした。	私の肩を覗いては、先生は安心をしたようにじんじんばしょりをして二階へ上って行く。
