# Q-01 検査標本 100 件(seed=20260825)。偽陽性なら is_false_positive 列に 1 を書く。判定は人間が行う
surface	pos	is_false_positive	context
くたくた	形状詞		茂み、その一本一本を見る。つまり、私は、くたくたになって横たわった儘何時間も、昼の労働の
にやにや	副詞		わす度に私は彼へだんだん勢力を与えるためにやにや軽蔑したように笑ってやると、彼もそれには
モゾモゾ	副詞		れると、かわいそうな子どもカブトムシは、モゾモゾ動きはじめました。そして、ドアの方にむか
ずきずき	副詞		入れ歯をした人が、どうかすると、その歯がずきずきうずくように感じることもあるそうである。
ぴたり	副詞		このあたらしい都会でぴたりとくる感じ――私はそれを町の顔と呼ぶ。
もくもく	副詞		、顔もさだかでない、屍体を弄びはじめた。もくもくと湧き出す血が、海藻のような帯を引き、ち
くるくる	副詞		とには、山のように盛りあがった白い水泡がくるくる廻りながら、残っている。それも束の間、薄
いらいら	名詞		行して来たスリも、誰かを待っているのか、いらいらしていた。
ずんずん	副詞		かりました。媛はその糸の伝わっている方へずんずん行って見ますと、糸はしまいに、三輪山のお
にやり	副詞		と排泄物の中に倒れているのに気がついて、にやりにやりと笑い出した。――
ひたひた	副詞		枯薄が透間もなく生え続いた中を行く。浪がひたひたと石崖に当る。ほど経て横手からお長が白馬
ぐるぐる	副詞		って目がぎろぎろとして居た。毛皮は尾からぐるぐると巻いて荒繩で括られた。そうして番小屋の
がらり	副詞		に扮装したこの頃の行商人が横風に靴音高くがらりと人の家の格子戸を明け田舎訛りの高声に奥
ふらふら	副詞		き、刀を執った医学士が好きになって、後でふらふらとその男を病院に訪ねて拒絶されたことなど
ちらり	副詞		ると、姑はクレゾオルの匂のする病室の中をちらりと見廻したきりで、長くその中に止まること
じりじり	副詞		、この四つを神仏に念じて、尺取虫のようにじりじりと進んで行こうというのだ。しかし、四誓願
カラカラ	形状詞		カラカラと笑ってつけたした。
どんどん	副詞		れ、走らないと、噛み殺すぞ」といって足をどんどんしました。むぐらの親子は、
すっすっ	副詞		そこで恰も木馬に乗った勇士のようにすっすっと彼等の傍を突き進んで行った。意想天外な
ぐらぐら	副詞		夜ほとんど眠られなかった疲労が出て、頭がぐらぐらした。涼しい心地のいい風が川から来て、青
よろよろ	副詞		。私はそれをあんまり永く見て眼も眩くなりよろよろしました。
ぐるり	副詞		で、私は鍬を振って地面にうち下した。私をぐるりと取り巻いて眺めている人々の気配が、だん
ボツボツ	副詞		向、文学の潮流が、自然主義的であるためにボツボツその弊害が表われて、日本の自然主義という
ニヤニヤ	副詞		は癖のように、その風呂敷を背中に隠して、ニヤニヤ笑いながら「摘草したのよ」と云った。
ケチケチ	副詞		一切が意識的であった。愚劣で単調なケチケチした環境に永らく圧迫されて圧結していた感
ぱらっ	副詞		がウイスキイ一杯で、こんなにだらしなく酔ぱらったことについては、私はいまでも恥かしく思
ざわざわ	副詞		影もない。音もない。思い出したようにざわざわと吹き渡る川風が、なまあったかくふわりふ
ガラガラ	副詞		た。やがて、裏の母屋の方から足音がして、ガラガラと戸障子があき、正造がもどってきた。身長
めそめそ	副詞		気を嵩ぶらせてはならぬ。女の子のように、めそめそしてはならぬ。また、じりじりと焦ってもな
ぴたり	副詞		主婦はその傍らに来てぴたりとすわった。慇懃に手をつき、そこの下座か
からり	副詞		とついじってみては壺にいれる。大きなのはからりと、小さなのはちりちりと音がする。骨のな
バタバタ	副詞		バタバタと三人の跫音が、廊下を遠ざかって行きます
うろうろ	副詞		いい。物欲しそうな面の、金持ちらしいのがうろうろしてたら、こうこうこうしてこうするように
トントン	副詞		力に乗せて引いて行った青年が、途中でスットントン節をくり返しくり返し唄った。それは娘に初
ざぶざぶ	副詞		にあるいきを吸うんだぜ」幸太は手で蒲団へざぶざぶと水を掛け続けた、「……ちょっと待ちな、
ニヤニヤ	副詞		支那人はニヤニヤ笑って巾着の口を閉じながら、
にこり	副詞		次郎は、しかし、にこりともしないで自分の席に腰をおろした。そし
のろのろ	副詞		ら辷り流れる日光の斑点に顔を染めながら、のろのろとやって来た。
よろよろ	副詞		ような小説を今更書いて、細田のあとから、よろよろと行きたくはないし、談話筆記は落第するし
ムラムラ	副詞		森の口まで行きついた時、ムラムラと現われた多勢の人影！
ぐるぐる	副詞		ボンの上で、相馬焼の茶碗の糸底を三本指でぐるぐる廻しながら考えた。なるほど珍らしいに相違
ぶつぶつ	副詞		ことや、母がいつも、そうした生活についてぶつぶつ呟き、父といさかいをしていたことを知って
はははは	感動詞		めれば、もはや八州を望むも難くない。……はははは、物騒だな」
ふらふら	副詞		！　だから、ついくやしくなって、けさ早くふらふらと江戸見物にいったんですよ」
のこり	名詞		来ました。そして、はげしいしぶきの中に、のこりとすわって、店先に下っている肉のかたまり
ぶらり	副詞		帰った二十六人が親方たちに守られながら、ぶらりとさがっている二枚の着物を遠巻きにして、
ウトウト	副詞		くなりましたので、ミミは草の中に突伏してウトウトとねむりながら、月の出るのを待ちました。
ふらふら	副詞		れた。それから、よろけるような足どりで、ふらふらと表通りに出て行った。
ずんずん	副詞		女たちは一層笑い声を高くしながら私の方へずんずん駈け下りて来た。そんなところで引っ返した
うかうか	副詞		「岩に開き戸があったと見える。うかうかそれへさわったと見える。で戸が開いてまた
ソワソワ	副詞		イヤ、本当は一人丈け、ソワソワと落ちつきのない様子をしていた男がある。
ウヨウヨ	副詞		何処を見ても、仕事がなくて、食えない人がウヨウヨしていた。お君はストライキの準備を進めな
