# vocab_proposals — エージェントによる採否の【提案】。決定ではない
# 生成 2026-08-25 / 対象 vocab_manifest.json の needs_review 全件
# proposed 列: adopted(採用提案) / rejected(除外提案) / hold(判断が割れるので人手を仰ぐ)
# approved 列に adopted / rejected を書けば提案を上書きできる。空欄なら提案どおり
# 提案の作り方: 明示した除外語と保留語を列挙し、残りはすべて採用提案とした
#   判定基準は SPEC §4.2。この表は curate.py から読まれない(承認後に vocab_decisions.tsv へ反映する)
# 承認 2026-08-25: 採用提案のみを承認した。rejected 提案 25 語と hold 20 語は needs_review のまま据え置く
word	freq	ctx_types	proposed	reason	approved
そろそろ	938		hold	原義は様態(そろりそろり)だが近代コーパスでは時間用法が優勢。頻度938で影響が最大なので人手判断を仰ぐ	
はははは	550		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
うろうろ	384		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
いらいら	295		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぐんぐん	255		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
つかつか	244		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぼろぼろ	231		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぱちぱち	226		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
いそいそ	225		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
こつこつ	216		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ひそひそ	213		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ごたごた	210		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
まごまご	203		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がやがや	198		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
びくびく	197		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
こそこそ	193		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
おどおど	191		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
どきどき	191		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
まじまじ	181		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
かんかん	180		hold	金属音(擬音)と激怒(擬態)の両義。どちらで採るかで語感軸への寄与が変わる	
むらむら	178		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
むくむく	175		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぐいぐい	159		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
どやどや	157		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
どしどし	156		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ざわざわ	153		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
おろおろ	152		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
わなわな	150		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
げらげら	150		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
おずおず	148		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぞくぞく	144		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
わくわく	141		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
わいわい	138		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
のこのこ	138		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
とぼとぼ	134		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
しくしく	134		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
じめじめ	133		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぽんぽん	133		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がさがさ	131		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
すれすれ	128		rejected	擦れ擦れ。動詞反復で、近代語では程度(かろうじて)の意が主	
すやすや	124		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぼつぼつ	123		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
のろのろ	119		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ずかずか	119		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
うかうか	118		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ごそごそ	115		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
かちかち	113		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ひしひし	113		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
くどくど	111		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぷんぷん	109		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
しんしん	103		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぱらぱら	100		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
せかせか	99		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぼそぼそ	99		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぺこぺこ	96		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
もやもや	94		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
べらべら	91		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
かさかさ	91		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぴくぴく	90		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ひたひた	90		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
こんこん	89		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ごしごし	88		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ちかちか	88		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぽろぽろ	87		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぴりぴり	84		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
むかむか	84		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぶくぶく	84		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
くよくよ	80		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
しとしと	79		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
つるつる	78		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ごうごう	77		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
すごすご	77		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
なみなみ	77		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
へへへへ	76		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
へとへと	76		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
へらへら	74		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
よちよち	73		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
しぶしぶ	71		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぱんぱん	71		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
くりくり	70		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ひくひく	69		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がくがく	69		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぴんぴん	68		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がみがみ	68		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
うようよ	66		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぼうぼう	66		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ほほほほ	65		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
てらてら	65		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
きびきび	64		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がりがり	64		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がんがん	63		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ばりばり	62		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
たじたじ	61		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぐうぐう	61		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
びりびり	59		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
てくてく	58		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ずたずた	57		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
がつがつ	57		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
はきはき	56		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
