# Q-01 人手判定の恒久記録 — 標本 seed 20260826 / 語彙 vocab_decisions v1.1.0 + F-06b 名詞ガード(採用597)
# 判定日 2026-08-25 / 判定者 人間 / 偽陽性 2/100 = 2%
# 判定 1 の行: 10 ごんごん(ごんごんごま=独楽の名)/ 65 パンパン(パンパンガール)
# いずれも複合語の内部から切り出した断片(モード B)。外来語(モード A)は 0 件で、
# F-06b 名詞ガードが効いたことを示す
# このファイルは測定の証拠であり、再生成で上書きしてはならない(HC-005)
surface	pos	is_false_positive	context
ギリギリ	副詞		ない恐怖から、四百万の軍隊が最後の洞穴やギリギリの山奥にたてこもって死にものぐるいに抗戦
ツカツカ	副詞		の変な様子が分って来た。彼は真青になってツカツカと部屋の中へ這入って行った。
ボソボソ	副詞		やがて人形ルミと黒住との優しい愛の囁きがボソボソと聞え始めて来た時は、私の心は全く平衡を
がらがら	副詞		ら下っている釦を押した。すると、とたんにがらがらというしたたかな雑音が聞え、続いてアナウ
くるくる	副詞		塊でも木片でも人が之を投げつければ即時にくるくると捲いて決して其所を動かない。そうして扁
ひそひそ	副詞		もこの人ならば、と思つたか今の電話の事をひそひそ話しているらしい。
じろじろ	副詞		であった。うす絽の羽織をひっかけていた。じろじろと見つめられると麻裏草履の音もしのばせる
ジロジロ	副詞		りしたろうそくの光の中で、おたがいの顔をジロジロとながめあいました。なにしろ相手は、変装
だらだら	副詞		長い男が立っていた。見ると同時に、額からだらだらと流れた血を思い出した。ふらふらして宿へ
ごんごん	副詞	1	何となく、そこいら屋敷町の垣根を探して（ごんごんごま）が見たかったのである。この名からし
ごそごそ	副詞		と、比較的新らしい鉄屑の傍へ腰を屈めて、ごそごそとさばき始めた。暫く一面に掻き廻していた
ぽかん	副詞		次郎とお鶴とは、ぽかんとしてこの光景に眼を見張った。
くよくよ	副詞		「そうか。しかしくよくよ思ったって始まらないよ」
するする	副詞		んはそれを力にして、ふといスギのみきを、するするとのぼっていきました。
ことこと	副詞		と、いった時、ことこと走る音が、近づいて来た。
ヘラヘラ	副詞		ものさ。ところで」というと城之介、今度はヘラヘラ笑い出した。「拙者になると少し上手だ。愛
がやがや	副詞		たと思うと、その姿はしだいに大きくなり、がやがや騒ぎとともに、ひとりひとりの顔の見わけも
ちらちら	副詞		きを否定しているのではない。彼等の眼底にちらちらと動く赤馬に乗った上野介の姿の中には「忠
